provinsi,MAE_naive,MAE_ets,MAE_sarima,best_model
ACEH,1.9133,1.6345,2.1191,ETS
BALI,2.3767,2.2187,3.0648,ETS
BANTEN,1.7167,1.1917,1.4133,ETS
BENGKULU,1.7333,1.1412,1.8181,ETS
DI YOGYAKARTA,0.9967,0.5979,0.5727,ETS
DKI JAKARTA,1.4933,1.0343,0.9888,ETS
GORONTALO,4.6167,3.8202,3.7236,ETS
JAMBI,2.7067,1.6324,1.7412,ETS
JAWA BARAT,1.52,1.0858,0.6446,SARIMA
JAWA TENGAH,1.78,0.9686,1.0547,ETS
JAWA TIMUR,1.98,1.2148,2.118,ETS
KALIMANTAN BARAT,0.6633,0.6433,0.5659,SARIMA
KALIMANTAN SELATAN,0.5433,0.5845,1.4895,Seasonal Naive
KALIMANTAN TENGAH,0.9,0.5056,1.1178,ETS
KALIMANTAN TIMUR,1.1833,0.2789,1.9381,ETS
KALIMANTAN UTARA,1.7833,1.4582,1.7523,ETS
KEPULAUAN BANGKA BELITUNG,1.7333,0.7105,1.5278,ETS
KEPULAUAN RIAU,1.8667,0.8591,0.8768,ETS
LAMPUNG,2.2833,1.8169,2.8145,ETS
MALUKU,1.7133,1.723,1.0176,SARIMA
MALUKU UTARA,2.6,2.2048,3.9039,ETS
NUSA TENGGARA BARAT,1.6867,0.9565,2.572,ETS
NUSA TENGGARA TIMUR,1.7033,1.261,1.7193,ETS
PAPUA,3.34,3.1348,3.9607,ETS
PAPUA BARAT,2.3933,1.8792,4.0326,ETS
PAPUA BARAT DAYA,1.9167,1.7971,2.1112,ETS
PAPUA PEGUNUNGAN,4.55,3.1424,4.8636,ETS
PAPUA SELATAN,3.92,4.1065,4.2071,Seasonal Naive
PAPUA TENGAH,2.1333,1.7647,3.5928,ETS
RIAU,3.0533,1.7537,2.7704,ETS
SULAWESI BARAT,0.55,0.4246,0.7868,ETS
SULAWESI SELATAN,1.7433,0.958,1.3975,ETS
SULAWESI TENGAH,2.5833,1.3948,3.1355,ETS
SULAWESI TENGGARA,2.6167,1.9769,2.2953,ETS
SULAWESI UTARA,3.1733,3.6252,3.7268,Seasonal Naive
SUMATERA BARAT,3.3467,1.8388,1.8319,ETS
SUMATERA SELATAN,1.5767,1.1051,1.5921,ETS
SUMATERA UTARA,2.07,1.505,2.5011,ETS
